SI,mei1,mei2,smi,meo1,meo2,smo,fc,el,image,image2
Sample-1889,140,260,4.812,90,103,1.3,0.1,-0.003,Sample-1889_image.tif,Sample-1889_image.jpg
Sample-188,100,180,3.88,180,70,1.79,0.2,0.409,Sample-188_image.tif,Sample-188_image.jpg
Sample-1890,140,260,4.812,90,103,1.3,0.2,0.1,Sample-1890_image.tif,Sample-1890_image.jpg
Sample-1891,140,260,4.812,90,103,1.79,0.1,-0.054,Sample-1891_image.tif,Sample-1891_image.jpg
Sample-1892,140,260,4.812,90,103,1.79,0.2,-0.063,Sample-1892_image.tif,Sample-1892_image.jpg
Sample-1893,140,260,4.812,90,103,6.62,0.1,0.048,Sample-1893_image.tif,Sample-1893_image.jpg
Sample-1894,140,260,4.812,90,103,6.62,0.2,-0.021,Sample-1894_image.tif,Sample-1894_image.jpg
Sample-1895,140,260,4.812,90,103,8,0.1,0.013,Sample-1895_image.tif,Sample-1895_image.jpg
Sample-1896,140,260,4.812,90,103,8,0.2,0.101,Sample-1896_image.tif,Sample-1896_image.jpg
Sample-1897,140,260,4.812,90,250,1.3,0.1,-0.011,Sample-1897_image.tif,Sample-1897_image.jpg
Sample-1898,140,260,4.812,90,250,1.3,0.2,0.264,Sample-1898_image.tif,Sample-1898_image.jpg
Sample-1899,140,260,4.812,90,250,1.79,0.1,-0.038,Sample-1899_image.tif,Sample-1899_image.jpg
Sample-189,100,180,3.88,180,70,6.62,0.1,0.123,Sample-189_image.tif,Sample-189_image.jpg
Sample-18,100,180,2.807,150,300,1.3,0.2,0.485,Sample-18_image.tif,Sample-18_image.jpg
Sample-1900,140,260,4.812,90,250,1.79,0.2,0.046,Sample-1900_image.tif,Sample-1900_image.jpg
Sample-1901,140,260,4.812,90,250,6.62,0.1,0.047,Sample-1901_image.tif,Sample-1901_image.jpg
Sample-1902,140,260,4.812,90,250,6.62,0.2,0.28,Sample-1902_image.tif,Sample-1902_image.jpg
Sample-1903,140,260,4.812,90,250,8,0.1,0.079,Sample-1903_image.tif,Sample-1903_image.jpg
Sample-1904,140,260,4.812,90,250,8,0.2,0.099,Sample-1904_image.tif,Sample-1904_image.jpg
Sample-1905,140,260,4.812,90,300,1.3,0.1,0.025,Sample-1905_image.tif,Sample-1905_image.jpg
Sample-1906,140,260,4.812,90,300,1.3,0.2,0.071,Sample-1906_image.tif,Sample-1906_image.jpg
Sample-1907,140,260,4.812,90,300,1.79,0.1,0.086,Sample-1907_image.tif,Sample-1907_image.jpg
Sample-1908,140,260,4.812,90,300,1.79,0.2,0.02,Sample-1908_image.tif,Sample-1908_image.jpg
Sample-1909,140,260,4.812,90,300,6.62,0.1,0.002,Sample-1909_image.tif,Sample-1909_image.jpg
Sample-190,100,180,3.88,180,70,6.62,0.2,0.401,Sample-190_image.tif,Sample-190_image.jpg
Sample-1910,140,260,4.812,90,300,6.62,0.2,0.053,Sample-1910_image.tif,Sample-1910_image.jpg
Sample-1911,140,260,4.812,90,300,8,0.1,0.05,Sample-1911_image.tif,Sample-1911_image.jpg
Sample-1912,140,260,4.812,90,300,8,0.2,-0.174,Sample-1912_image.tif,Sample-1912_image.jpg
Sample-1913,140,260,4.812,90,70,1.3,0.1,-0.045,Sample-1913_image.tif,Sample-1913_image.jpg
Sample-1914,140,260,4.812,90,70,1.3,0.2,0.068,Sample-1914_image.tif,Sample-1914_image.jpg
Sample-1915,140,260,4.812,90,70,1.79,0.1,0.017,Sample-1915_image.tif,Sample-1915_image.jpg
Sample-1916,140,260,4.812,90,70,1.79,0.2,0.07,Sample-1916_image.tif,Sample-1916_image.jpg
Sample-1917,140,260,4.812,90,70,6.62,0.1,-0.013,Sample-1917_image.tif,Sample-1917_image.jpg
Sample-1918,140,260,4.812,90,70,6.62,0.2,0.068,Sample-1918_image.tif,Sample-1918_image.jpg
Sample-1919,140,260,4.812,90,70,8,0.1,0.042,Sample-1919_image.tif,Sample-1919_image.jpg
Sample-191,100,180,3.88,180,70,8,0.1,0.199,Sample-191_image.tif,Sample-191_image.jpg
Sample-1920,140,260,4.812,90,70,8,0.2,0.039,Sample-1920_image.tif,Sample-1920_image.jpg
Sample-1921,140,340,2.807,150,103,1.3,0.1,0.039,Sample-1921_image.tif,Sample-1921_image.jpg
Sample-1922,140,340,2.807,150,103,1.3,0.2,0.17,Sample-1922_image.tif,Sample-1922_image.jpg
Sample-1923,140,340,2.807,150,103,1.79,0.1,0.022,Sample-1923_image.tif,Sample-1923_image.jpg
Sample-1924,140,340,2.807,150,103,1.79,0.2,0.227,Sample-1924_image.tif,Sample-1924_image.jpg
Sample-1925,140,340,2.807,150,103,6.62,0.1,0.106,Sample-1925_image.tif,Sample-1925_image.jpg
Sample-1926,140,340,2.807,150,103,6.62,0.2,0.3,Sample-1926_image.tif,Sample-1926_image.jpg
Sample-1927,140,340,2.807,150,103,8,0.1,0.053,Sample-1927_image.tif,Sample-1927_image.jpg
Sample-1928,140,340,2.807,150,103,8,0.2,0.193,Sample-1928_image.tif,Sample-1928_image.jpg
Sample-1929,140,340,2.807,150,250,1.3,0.1,0.137,Sample-1929_image.tif,Sample-1929_image.jpg
Sample-192,100,180,3.88,180,70,8,0.2,0.358,Sample-192_image.tif,Sample-192_image.jpg
Sample-1930,140,340,2.807,150,250,1.3,0.2,0.302,Sample-1930_image.tif,Sample-1930_image.jpg
Sample-1931,140,340,2.807,150,250,1.79,0.1,0.121,Sample-1931_image.tif,Sample-1931_image.jpg
Sample-1932,140,340,2.807,150,250,1.79,0.2,0.304,Sample-1932_image.tif,Sample-1932_image.jpg
Sample-1933,140,340,2.807,150,250,6.62,0.1,0.107,Sample-1933_image.tif,Sample-1933_image.jpg
Sample-1934,140,340,2.807,150,250,6.62,0.2,0.137,Sample-1934_image.tif,Sample-1934_image.jpg
Sample-1935,140,340,2.807,150,250,8,0.1,0.108,Sample-1935_image.tif,Sample-1935_image.jpg
Sample-1936,140,340,2.807,150,250,8,0.2,0.232,Sample-1936_image.tif,Sample-1936_image.jpg
Sample-1937,140,340,2.807,150,300,1.3,0.1,0.151,Sample-1937_image.tif,Sample-1937_image.jpg
Sample-1938,140,340,2.807,150,300,1.3,0.2,0.292,Sample-1938_image.tif,Sample-1938_image.jpg
Sample-1939,140,340,2.807,150,300,1.79,0.1,0.101,Sample-1939_image.tif,Sample-1939_image.jpg
Sample-193,100,180,3.88,70,103,1.3,0.1,0.295,Sample-193_image.tif,Sample-193_image.jpg
Sample-1940,140,340,2.807,150,300,1.79,0.2,0.186,Sample-1940_image.tif,Sample-1940_image.jpg
Sample-1941,140,340,2.807,150,300,6.62,0.1,0.111,Sample-1941_image.tif,Sample-1941_image.jpg
Sample-1942,140,340,2.807,150,300,6.62,0.2,0.313,Sample-1942_image.tif,Sample-1942_image.jpg
Sample-1943,140,340,2.807,150,300,8,0.1,0.057,Sample-1943_image.tif,Sample-1943_image.jpg
Sample-1944,140,340,2.807,150,300,8,0.2,0.156,Sample-1944_image.tif,Sample-1944_image.jpg
Sample-1945,140,340,2.807,150,70,1.3,0.1,0.03,Sample-1945_image.tif,Sample-1945_image.jpg
Sample-1946,140,340,2.807,150,70,1.3,0.2,0.178,Sample-1946_image.tif,Sample-1946_image.jpg
Sample-1947,140,340,2.807,150,70,1.79,0.1,0.023,Sample-1947_image.tif,Sample-1947_image.jpg
Sample-1948,140,340,2.807,150,70,1.79,0.2,0.178,Sample-1948_image.tif,Sample-1948_image.jpg
Sample-1949,140,340,2.807,150,70,6.62,0.1,0.096,Sample-1949_image.tif,Sample-1949_image.jpg
Sample-194,100,180,3.88,70,103,1.3,0.2,0.495,Sample-194_image.tif,Sample-194_image.jpg
Sample-1950,140,340,2.807,150,70,6.62,0.2,0.244,Sample-1950_image.tif,Sample-1950_image.jpg
Sample-1951,140,340,2.807,150,70,8,0.1,0.06,Sample-1951_image.tif,Sample-1951_image.jpg
Sample-1952,140,340,2.807,150,70,8,0.2,0.154,Sample-1952_image.tif,Sample-1952_image.jpg
Sample-1953,140,340,2.807,180,103,1.3,0.1,0.146,Sample-1953_image.tif,Sample-1953_image.jpg
Sample-1954,140,340,2.807,180,103,1.3,0.2,0.259,Sample-1954_image.tif,Sample-1954_image.jpg
Sample-1955,140,340,2.807,180,103,1.79,0.1,0.107,Sample-1955_image.tif,Sample-1955_image.jpg
Sample-1956,140,340,2.807,180,103,1.79,0.2,0.348,Sample-1956_image.tif,Sample-1956_image.jpg
Sample-1957,140,340,2.807,180,103,6.62,0.1,0.084,Sample-1957_image.tif,Sample-1957_image.jpg
Sample-1958,140,340,2.807,180,103,6.62,0.2,0.23,Sample-1958_image.tif,Sample-1958_image.jpg
Sample-1959,140,340,2.807,180,103,8,0.1,0.161,Sample-1959_image.tif,Sample-1959_image.jpg
Sample-195,100,180,3.88,70,103,1.79,0.1,0.17,Sample-195_image.tif,Sample-195_image.jpg
Sample-1960,140,340,2.807,180,103,8,0.2,0.21,Sample-1960_image.tif,Sample-1960_image.jpg
Sample-1961,140,340,2.807,180,250,1.3,0.1,0.224,Sample-1961_image.tif,Sample-1961_image.jpg
Sample-1962,140,340,2.807,180,250,1.3,0.2,0.312,Sample-1962_image.tif,Sample-1962_image.jpg
Sample-1963,140,340,2.807,180,250,1.79,0.1,0.165,Sample-1963_image.tif,Sample-1963_image.jpg
Sample-1964,140,340,2.807,180,250,1.79,0.2,0.36,Sample-1964_image.tif,Sample-1964_image.jpg
Sample-1965,140,340,2.807,180,250,6.62,0.1,0.178,Sample-1965_image.tif,Sample-1965_image.jpg
Sample-1966,140,340,2.807,180,250,6.62,0.2,0.269,Sample-1966_image.tif,Sample-1966_image.jpg
Sample-1967,140,340,2.807,180,250,8,0.1,0.119,Sample-1967_image.tif,Sample-1967_image.jpg
Sample-1968,140,340,2.807,180,250,8,0.2,0.28,Sample-1968_image.tif,Sample-1968_image.jpg
Sample-1969,140,340,2.807,180,300,1.3,0.1,0.154,Sample-1969_image.tif,Sample-1969_image.jpg
Sample-196,100,180,3.88,70,103,1.79,0.2,0.463,Sample-196_image.tif,Sample-196_image.jpg
Sample-1970,140,340,2.807,180,300,1.3,0.2,0.356,Sample-1970_image.tif,Sample-1970_image.jpg
Sample-1971,140,340,2.807,180,300,1.79,0.1,0.162,Sample-1971_image.tif,Sample-1971_image.jpg
Sample-1972,140,340,2.807,180,300,1.79,0.2,0.267,Sample-1972_image.tif,Sample-1972_image.jpg
Sample-1973,140,340,2.807,180,300,6.62,0.1,0.222,Sample-1973_image.tif,Sample-1973_image.jpg
Sample-1974,140,340,2.807,180,300,6.62,0.2,0.219,Sample-1974_image.tif,Sample-1974_image.jpg
Sample-1975,140,340,2.807,180,300,8,0.1,0.154,Sample-1975_image.tif,Sample-1975_image.jpg
Sample-1976,140,340,2.807,180,300,8,0.2,0.396,Sample-1976_image.tif,Sample-1976_image.jpg
Sample-1977,140,340,2.807,180,70,1.3,0.1,0.126,Sample-1977_image.tif,Sample-1977_image.jpg
Sample-1978,140,340,2.807,180,70,1.3,0.2,0.227,Sample-1978_image.tif,Sample-1978_image.jpg
Sample-1979,140,340,2.807,180,70,1.79,0.1,0.1,Sample-1979_image.tif,Sample-1979_image.jpg
Sample-197,100,180,3.88,70,103,6.62,0.1,0.239,Sample-197_image.tif,Sample-197_image.jpg
Sample-1980,140,340,2.807,180,70,1.79,0.2,0.383,Sample-1980_image.tif,Sample-1980_image.jpg
Sample-1981,140,340,2.807,180,70,6.62,0.1,0.093,Sample-1981_image.tif,Sample-1981_image.jpg
Sample-1982,140,340,2.807,180,70,6.62,0.2,0.214,Sample-1982_image.tif,Sample-1982_image.jpg
Sample-1983,140,340,2.807,180,70,8,0.1,0.136,Sample-1983_image.tif,Sample-1983_image.jpg
Sample-1984,140,340,2.807,180,70,8,0.2,0.253,Sample-1984_image.tif,Sample-1984_image.jpg
Sample-1985,140,340,2.807,70,103,1.3,0.1,-0.023,Sample-1985_image.tif,Sample-1985_image.jpg
Sample-1986,140,340,2.807,70,103,1.3,0.2,0.118,Sample-1986_image.tif,Sample-1986_image.jpg
Sample-1987,140,340,2.807,70,103,1.79,0.1,0.079,Sample-1987_image.tif,Sample-1987_image.jpg
Sample-1988,140,340,2.807,70,103,1.79,0.2,0.089,Sample-1988_image.tif,Sample-1988_image.jpg
Sample-1989,140,340,2.807,70,103,6.62,0.1,0,Sample-1989_image.tif,Sample-1989_image.jpg
Sample-198,100,180,3.88,70,103,6.62,0.2,0.332,Sample-198_image.tif,Sample-198_image.jpg
Sample-1990,140,340,2.807,70,103,6.62,0.2,-0.044,Sample-1990_image.tif,Sample-1990_image.jpg
Sample-1991,140,340,2.807,70,103,8,0.1,0.067,Sample-1991_image.tif,Sample-1991_image.jpg
Sample-1992,140,340,2.807,70,103,8,0.2,0.027,Sample-1992_image.tif,Sample-1992_image.jpg
Sample-1993,140,340,2.807,70,250,1.3,0.1,0.093,Sample-1993_image.tif,Sample-1993_image.jpg
Sample-1994,140,340,2.807,70,250,1.3,0.2,0.111,Sample-1994_image.tif,Sample-1994_image.jpg
Sample-1995,140,340,2.807,70,250,1.79,0.1,0.033,Sample-1995_image.tif,Sample-1995_image.jpg
Sample-1996,140,340,2.807,70,250,1.79,0.2,0.181,Sample-1996_image.tif,Sample-1996_image.jpg
Sample-1997,140,340,2.807,70,250,6.62,0.1,0.011,Sample-1997_image.tif,Sample-1997_image.jpg
Sample-1998,140,340,2.807,70,250,6.62,0.2,0.224,Sample-1998_image.tif,Sample-1998_image.jpg
Sample-1999,140,340,2.807,70,250,8,0.1,0.147,Sample-1999_image.tif,Sample-1999_image.jpg
Sample-199,100,180,3.88,70,103,8,0.1,0.313,Sample-199_image.tif,Sample-199_image.jpg
Sample-19,100,180,2.807,150,300,1.79,0.1,0.194,Sample-19_image.tif,Sample-19_image.jpg
Sample-1,100,180,2.807,150,103,1.3,0.1,0.316,Sample-1_image.tif,Sample-1_image.jpg
Sample-2000,140,340,2.807,70,250,8,0.2,0.078,Sample-2000_image.tif,Sample-2000_image.jpg
Sample-2001,140,340,2.807,70,300,1.3,0.1,0.078,Sample-2001_image.tif,Sample-2001_image.jpg
Sample-2002,140,340,2.807,70,300,1.3,0.2,0.2,Sample-2002_image.tif,Sample-2002_image.jpg
Sample-2003,140,340,2.807,70,300,1.79,0.1,0.031,Sample-2003_image.tif,Sample-2003_image.jpg
Sample-2004,140,340,2.807,70,300,1.79,0.2,-0.085,Sample-2004_image.tif,Sample-2004_image.jpg
Sample-2005,140,340,2.807,70,300,6.62,0.1,0.094,Sample-2005_image.tif,Sample-2005_image.jpg
Sample-2006,140,340,2.807,70,300,6.62,0.2,0.112,Sample-2006_image.tif,Sample-2006_image.jpg
Sample-2007,140,340,2.807,70,300,8,0.1,0.02,Sample-2007_image.tif,Sample-2007_image.jpg
Sample-2008,140,340,2.807,70,300,8,0.2,-0.05,Sample-2008_image.tif,Sample-2008_image.jpg
Sample-2009,140,340,2.807,70,70,1.3,0.1,-0.053,Sample-2009_image.tif,Sample-2009_image.jpg
Sample-200,100,180,3.88,70,103,8,0.2,0.468,Sample-200_image.tif,Sample-200_image.jpg
Sample-2010,140,340,2.807,70,70,1.3,0.2,0.101,Sample-2010_image.tif,Sample-2010_image.jpg
Sample-2011,140,340,2.807,70,70,1.79,0.1,-0.052,Sample-2011_image.tif,Sample-2011_image.jpg
Sample-2012,140,340,2.807,70,70,1.79,0.2,0.017,Sample-2012_image.tif,Sample-2012_image.jpg
Sample-2013,140,340,2.807,70,70,6.62,0.1,-0.027,Sample-2013_image.tif,Sample-2013_image.jpg
Sample-2014,140,340,2.807,70,70,6.62,0.2,0.059,Sample-2014_image.tif,Sample-2014_image.jpg
Sample-2015,140,340,2.807,70,70,8,0.1,-0.008,Sample-2015_image.tif,Sample-2015_image.jpg
Sample-2016,140,340,2.807,70,70,8,0.2,0.029,Sample-2016_image.tif,Sample-2016_image.jpg
Sample-2017,140,340,2.807,90,103,1.3,0.1,0.016,Sample-2017_image.tif,Sample-2017_image.jpg
Sample-2018,140,340,2.807,90,103,1.3,0.2,0.122,Sample-2018_image.tif,Sample-2018_image.jpg
Sample-2019,140,340,2.807,90,103,1.79,0.1,0.038,Sample-2019_image.tif,Sample-2019_image.jpg
Sample-201,100,180,3.88,70,250,1.3,0.1,0.146,Sample-201_image.tif,Sample-201_image.jpg
Sample-2020,140,340,2.807,90,103,1.79,0.2,0.186,Sample-2020_image.tif,Sample-2020_image.jpg
Sample-2021,140,340,2.807,90,103,6.62,0.1,0.031,Sample-2021_image.tif,Sample-2021_image.jpg
Sample-2022,140,340,2.807,90,103,6.62,0.2,0.115,Sample-2022_image.tif,Sample-2022_image.jpg
Sample-2023,140,340,2.807,90,103,8,0.1,0.061,Sample-2023_image.tif,Sample-2023_image.jpg
Sample-2024,140,340,2.807,90,103,8,0.2,0.15,Sample-2024_image.tif,Sample-2024_image.jpg
Sample-2025,140,340,2.807,90,250,1.3,0.1,0.094,Sample-2025_image.tif,Sample-2025_image.jpg
Sample-2026,140,340,2.807,90,250,1.3,0.2,0.215,Sample-2026_image.tif,Sample-2026_image.jpg
Sample-2027,140,340,2.807,90,250,1.79,0.1,0.005,Sample-2027_image.tif,Sample-2027_image.jpg
Sample-2028,140,340,2.807,90,250,1.79,0.2,0.225,Sample-2028_image.tif,Sample-2028_image.jpg
Sample-2029,140,340,2.807,90,250,6.62,0.1,0.129,Sample-2029_image.tif,Sample-2029_image.jpg
Sample-202,100,180,3.88,70,250,1.3,0.2,0.373,Sample-202_image.tif,Sample-202_image.jpg
Sample-2030,140,340,2.807,90,250,6.62,0.2,0.031,Sample-2030_image.tif,Sample-2030_image.jpg
Sample-2031,140,340,2.807,90,250,8,0.1,0.192,Sample-2031_image.tif,Sample-2031_image.jpg
Sample-2032,140,340,2.807,90,250,8,0.2,0.321,Sample-2032_image.tif,Sample-2032_image.jpg
Sample-2033,140,340,2.807,90,300,1.3,0.1,0.047,Sample-2033_image.tif,Sample-2033_image.jpg
Sample-2034,140,340,2.807,90,300,1.3,0.2,0.139,Sample-2034_image.tif,Sample-2034_image.jpg
Sample-2035,140,340,2.807,90,300,1.79,0.1,0.017,Sample-2035_image.tif,Sample-2035_image.jpg
Sample-2036,140,340,2.807,90,300,1.79,0.2,0.031,Sample-2036_image.tif,Sample-2036_image.jpg
Sample-2037,140,340,2.807,90,300,6.62,0.1,0.103,Sample-2037_image.tif,Sample-2037_image.jpg
Sample-2038,140,340,2.807,90,300,6.62,0.2,0.007,Sample-2038_image.tif,Sample-2038_image.jpg
Sample-2039,140,340,2.807,90,300,8,0.1,0.078,Sample-2039_image.tif,Sample-2039_image.jpg
Sample-203,100,180,3.88,70,250,1.79,0.1,0.223,Sample-203_image.tif,Sample-203_image.jpg
Sample-2040,140,340,2.807,90,300,8,0.2,0.09,Sample-2040_image.tif,Sample-2040_image.jpg
Sample-2041,140,340,2.807,90,70,1.3,0.1,-0.028,Sample-2041_image.tif,Sample-2041_image.jpg
Sample-2042,140,340,2.807,90,70,1.3,0.2,0.102,Sample-2042_image.tif,Sample-2042_image.jpg
Sample-2043,140,340,2.807,90,70,1.79,0.1,0.009,Sample-2043_image.tif,Sample-2043_image.jpg
Sample-2044,140,340,2.807,90,70,1.79,0.2,0.085,Sample-2044_image.tif,Sample-2044_image.jpg
Sample-2045,140,340,2.807,90,70,6.62,0.1,0.038,Sample-2045_image.tif,Sample-2045_image.jpg
Sample-2046,140,340,2.807,90,70,6.62,0.2,0.122,Sample-2046_image.tif,Sample-2046_image.jpg
Sample-2047,140,340,2.807,90,70,8,0.1,0.045,Sample-2047_image.tif,Sample-2047_image.jpg
Sample-2048,140,340,2.807,90,70,8,0.2,0.109,Sample-2048_image.tif,Sample-2048_image.jpg
Sample-2049,140,340,3.88,150,103,1.3,0.1,0.075,Sample-2049_image.tif,Sample-2049_image.jpg
Sample-204,100,180,3.88,70,250,1.79,0.2,0.418,Sample-204_image.tif,Sample-204_image.jpg
Sample-2050,140,340,3.88,150,103,1.3,0.2,0.191,Sample-2050_image.tif,Sample-2050_image.jpg
Sample-2051,140,340,3.88,150,103,1.79,0.1,0.037,Sample-2051_image.tif,Sample-2051_image.jpg
Sample-2052,140,340,3.88,150,103,1.79,0.2,0.217,Sample-2052_image.tif,Sample-2052_image.jpg
Sample-2053,140,340,3.88,150,103,6.62,0.1,0.107,Sample-2053_image.tif,Sample-2053_image.jpg
Sample-2054,140,340,3.88,150,103,6.62,0.2,0.166,Sample-2054_image.tif,Sample-2054_image.jpg
Sample-2055,140,340,3.88,150,103,8,0.1,0.055,Sample-2055_image.tif,Sample-2055_image.jpg
Sample-2056,140,340,3.88,150,103,8,0.2,0.23,Sample-2056_image.tif,Sample-2056_image.jpg
Sample-2057,140,340,3.88,150,250,1.3,0.1,0.149,Sample-2057_image.tif,Sample-2057_image.jpg
Sample-2058,140,340,3.88,150,250,1.3,0.2,0.256,Sample-2058_image.tif,Sample-2058_image.jpg
Sample-2059,140,340,3.88,150,250,1.79,0.1,0.077,Sample-2059_image.tif,Sample-2059_image.jpg
Sample-205,100,180,3.88,70,250,6.62,0.1,-0.033,Sample-205_image.tif,Sample-205_image.jpg
Sample-2060,140,340,3.88,150,250,1.79,0.2,0.225,Sample-2060_image.tif,Sample-2060_image.jpg
Sample-2061,140,340,3.88,150,250,6.62,0.1,0.088,Sample-2061_image.tif,Sample-2061_image.jpg
Sample-2062,140,340,3.88,150,250,6.62,0.2,0.392,Sample-2062_image.tif,Sample-2062_image.jpg
Sample-2063,140,340,3.88,150,250,8,0.1,0.146,Sample-2063_image.tif,Sample-2063_image.jpg
Sample-2064,140,340,3.88,150,250,8,0.2,0.248,Sample-2064_image.tif,Sample-2064_image.jpg
Sample-2065,140,340,3.88,150,300,1.3,0.1,0.157,Sample-2065_image.tif,Sample-2065_image.jpg
Sample-2066,140,340,3.88,150,300,1.3,0.2,0.357,Sample-2066_image.tif,Sample-2066_image.jpg
Sample-2067,140,340,3.88,150,300,1.79,0.1,0.103,Sample-2067_image.tif,Sample-2067_image.jpg
Sample-2068,140,340,3.88,150,300,1.79,0.2,0.283,Sample-2068_image.tif,Sample-2068_image.jpg
Sample-2069,140,340,3.88,150,300,6.62,0.1,0.134,Sample-2069_image.tif,Sample-2069_image.jpg
Sample-206,100,180,3.88,70,250,6.62,0.2,0.372,Sample-206_image.tif,Sample-206_image.jpg
Sample-2070,140,340,3.88,150,300,6.62,0.2,0.337,Sample-2070_image.tif,Sample-2070_image.jpg
Sample-2071,140,340,3.88,150,300,8,0.1,0.171,Sample-2071_image.tif,Sample-2071_image.jpg
Sample-2072,140,340,3.88,150,300,8,0.2,0.332,Sample-2072_image.tif,Sample-2072_image.jpg
Sample-2073,140,340,3.88,150,70,1.3,0.1,0.014,Sample-2073_image.tif,Sample-2073_image.jpg
Sample-2074,140,340,3.88,150,70,1.3,0.2,0.235,Sample-2074_image.tif,Sample-2074_image.jpg
Sample-2075,140,340,3.88,150,70,1.79,0.1,0.031,Sample-2075_image.tif,Sample-2075_image.jpg
Sample-2076,140,340,3.88,150,70,1.79,0.2,0.264,Sample-2076_image.tif,Sample-2076_image.jpg
Sample-2077,140,340,3.88,150,70,6.62,0.1,0.135,Sample-2077_image.tif,Sample-2077_image.jpg
Sample-2078,140,340,3.88,150,70,6.62,0.2,0.118,Sample-2078_image.tif,Sample-2078_image.jpg
Sample-2079,140,340,3.88,150,70,8,0.1,0.161,Sample-2079_image.tif,Sample-2079_image.jpg
Sample-207,100,180,3.88,70,250,8,0.1,0.207,Sample-207_image.tif,Sample-207_image.jpg
Sample-2080,140,340,3.88,150,70,8,0.2,0.178,Sample-2080_image.tif,Sample-2080_image.jpg
Sample-2081,140,340,3.88,180,103,1.3,0.1,0.127,Sample-2081_image.tif,Sample-2081_image.jpg
Sample-2082,140,340,3.88,180,103,1.3,0.2,0.256,Sample-2082_image.tif,Sample-2082_image.jpg
Sample-2083,140,340,3.88,180,103,1.79,0.1,0.157,Sample-2083_image.tif,Sample-2083_image.jpg
Sample-2084,140,340,3.88,180,103,1.79,0.2,0.099,Sample-2084_image.tif,Sample-2084_image.jpg
Sample-2085,140,340,3.88,180,103,6.62,0.1,0.043,Sample-2085_image.tif,Sample-2085_image.jpg
Sample-2086,140,340,3.88,180,103,6.62,0.2,0.211,Sample-2086_image.tif,Sample-2086_image.jpg
Sample-2087,140,340,3.88,180,103,8,0.1,0.084,Sample-2087_image.tif,Sample-2087_image.jpg
Sample-2088,140,340,3.88,180,103,8,0.2,0.249,Sample-2088_image.tif,Sample-2088_image.jpg
Sample-2089,140,340,3.88,180,250,1.3,0.1,0.136,Sample-2089_image.tif,Sample-2089_image.jpg
Sample-208,100,180,3.88,70,250,8,0.2,0.423,Sample-208_image.tif,Sample-208_image.jpg
Sample-2090,140,340,3.88,180,250,1.3,0.2,0.235,Sample-2090_image.tif,Sample-2090_image.jpg
Sample-2091,140,340,3.88,180,250,1.79,0.1,0.149,Sample-2091_image.tif,Sample-2091_image.jpg
Sample-2092,140,340,3.88,180,250,1.79,0.2,0.335,Sample-2092_image.tif,Sample-2092_image.jpg
Sample-2093,140,340,3.88,180,250,6.62,0.1,0.099,Sample-2093_image.tif,Sample-2093_image.jpg
Sample-2094,140,340,3.88,180,250,6.62,0.2,0.23,Sample-2094_image.tif,Sample-2094_image.jpg
Sample-2095,140,340,3.88,180,250,8,0.1,0.114,Sample-2095_image.tif,Sample-2095_image.jpg
Sample-2096,140,340,3.88,180,250,8,0.2,0.247,Sample-2096_image.tif,Sample-2096_image.jpg
Sample-2097,140,340,3.88,180,300,1.3,0.1,0.2,Sample-2097_image.tif,Sample-2097_image.jpg
Sample-2098,140,340,3.88,180,300,1.3,0.2,0.346,Sample-2098_image.tif,Sample-2098_image.jpg
Sample-2099,140,340,3.88,180,300,1.79,0.1,0.136,Sample-2099_image.tif,Sample-2099_image.jpg
Sample-209,100,180,3.88,70,300,1.3,0.1,0.02,Sample-209_image.tif,Sample-209_image.jpg
Sample-20,100,180,2.807,150,300,1.79,0.2,0.287,Sample-20_image.tif,Sample-20_image.jpg
Sample-2100,140,340,3.88,180,300,1.79,0.2,0.198,Sample-2100_image.tif,Sample-2100_image.jpg
Sample-2101,140,340,3.88,180,300,6.62,0.1,0.067,Sample-2101_image.tif,Sample-2101_image.jpg
Sample-2102,140,340,3.88,180,300,6.62,0.2,0.279,Sample-2102_image.tif,Sample-2102_image.jpg
Sample-2103,140,340,3.88,180,300,8,0.1,0.107,Sample-2103_image.tif,Sample-2103_image.jpg
Sample-2104,140,340,3.88,180,300,8,0.2,0.291,Sample-2104_image.tif,Sample-2104_image.jpg
Sample-2105,140,340,3.88,180,70,1.3,0.1,0.203,Sample-2105_image.tif,Sample-2105_image.jpg
Sample-2106,140,340,3.88,180,70,1.3,0.2,0.217,Sample-2106_image.tif,Sample-2106_image.jpg
Sample-2107,140,340,3.88,180,70,1.79,0.1,0.161,Sample-2107_image.tif,Sample-2107_image.jpg
Sample-2108,140,340,3.88,180,70,1.79,0.2,0.196,Sample-2108_image.tif,Sample-2108_image.jpg
Sample-2109,140,340,3.88,180,70,6.62,0.1,0.177,Sample-2109_image.tif,Sample-2109_image.jpg
Sample-210,100,180,3.88,70,300,1.3,0.2,0.238,Sample-210_image.tif,Sample-210_image.jpg
Sample-2110,140,340,3.88,180,70,6.62,0.2,0.207,Sample-2110_image.tif,Sample-2110_image.jpg
Sample-2111,140,340,3.88,180,70,8,0.1,0.193,Sample-2111_image.tif,Sample-2111_image.jpg
Sample-2112,140,340,3.88,180,70,8,0.2,0.23,Sample-2112_image.tif,Sample-2112_image.jpg
Sample-2113,140,340,3.88,70,103,1.3,0.1,0.02,Sample-2113_image.tif,Sample-2113_image.jpg
