id,MoE-Inner-Warp,MoE-Inner-Weft,SM-Inner,MoE-Outer-Warp,MoE-Outer-Weft,SM-Outer,Friction Coefficient,Axial Load,Pre-strain,sample,Bunching (mm),image-front,image-s1,image-s2
50,100,340,3.128,90,250,1.79,0.14,3.00E-05,Inside jacket 0.44%,sample-1049,1.524312847,sample-1049_FrontView.jpg,sample-1049_SideView_1.jpg,sample-1049_SideView_2.jpg
51,100,340,3.128,90,250,1.79,0.14,3.00E-05,Outside jacket 0.5%,sample-1050,9.235463697,sample-1050_FrontView.jpg,sample-1050_SideView_1.jpg,sample-1050_SideView_2.jpg
52,100,340,3.128,90,250,1.79,0.14,6.60E-05,Inside jacket 1.6%,sample-1051,24.79511071,sample-1051_FrontView.jpg,sample-1051_SideView_1.jpg,sample-1051_SideView_2.jpg
53,100,340,3.128,90,250,1.79,0.14,6.60E-05,Inside jacket 0.44%,sample-1052,1.797322572,sample-1052_FrontView.jpg,sample-1052_SideView_1.jpg,sample-1052_SideView_2.jpg
54,100,340,3.128,90,250,1.79,0.14,6.60E-05,Outside jacket 0.5%,sample-1053,3.954498929,sample-1053_FrontView.jpg,sample-1053_SideView_1.jpg,sample-1053_SideView_2.jpg
55,100,340,3.128,90,250,1.79,0.2,3.00E-05,Inside jacket 1.6%,sample-1054,26.24575258,sample-1054_FrontView.jpg,sample-1054_SideView_1.jpg,sample-1054_SideView_2.jpg
56,100,340,3.128,90,250,1.79,0.2,3.00E-05,Inside jacket 0.44%,sample-1055,1.729632536,sample-1055_FrontView.jpg,sample-1055_SideView_1.jpg,sample-1055_SideView_2.jpg
57,100,340,3.128,90,250,1.79,0.2,3.00E-05,Outside jacket 0.5%,sample-1056,4.845458624,sample-1056_FrontView.jpg,sample-1056_SideView_1.jpg,sample-1056_SideView_2.jpg
58,100,340,3.128,90,250,1.79,0.2,6.60E-05,Inside jacket 1.6%,sample-1057,13.28763879,sample-1057_FrontView.jpg,sample-1057_SideView_1.jpg,sample-1057_SideView_2.jpg
59,100,340,3.128,90,250,1.79,0.2,6.60E-05,Inside jacket 0.44%,sample-1058,1.961501999,sample-1058_FrontView.jpg,sample-1058_SideView_1.jpg,sample-1058_SideView_2.jpg
60,100,340,3.128,90,250,1.79,0.2,6.60E-05,Outside jacket 0.5%,sample-1059,6.358121832,sample-1059_FrontView.jpg,sample-1059_SideView_1.jpg,sample-1059_SideView_2.jpg
61,100,340,3.128,90,70,0.484,0.14,3.00E-05,Inside jacket 1.6%,sample-1060,5.507039792,sample-1060_FrontView.jpg,sample-1060_SideView_1.jpg,sample-1060_SideView_2.jpg
62,100,340,3.128,90,70,0.484,0.14,3.00E-05,Inside jacket 0.44%,sample-1061,0.812256623,sample-1061_FrontView.jpg,sample-1061_SideView_1.jpg,sample-1061_SideView_2.jpg
63,100,340,3.128,90,70,0.484,0.14,3.00E-05,Outside jacket 0.5%,sample-1062,0.856221484,sample-1062_FrontView.jpg,sample-1062_SideView_1.jpg,sample-1062_SideView_2.jpg
64,100,340,3.128,90,70,0.484,0.14,6.60E-05,Inside jacket 1.6%,sample-1063,5.786781736,sample-1063_FrontView.jpg,sample-1063_SideView_1.jpg,sample-1063_SideView_2.jpg
