SI,e1,e2,load,fc,count,len,amp,image
196,0.1,0.1,8,45,10,29.91,1.68594,Snaking_E1_0_E2_3_Fric_9_load_1.jpg
197,0.1,0.1,10,45,9,32.36,3.80806,Snaking_E1_0_E2_3_Fric_9_load_2.jpg
198,0.1,0.1,12,45,9,41.32,2.40284,Snaking_E1_0_E2_3_Fric_9_load_3.jpg
199,0.1,0.1,14,45,8,46.03,4.32605,Snaking_E1_0_E2_3_Fric_9_load_4.jpg
200,0.1,0.15,6,0.01,5,9.36,0.441386,Snaking_E1_0_E2_4_Fric_0_load_0.jpg
201,0.1,0.15,8,0.01,10,26.4,1.39611,Snaking_E1_0_E2_4_Fric_0_load_1.jpg
202,0.1,0.15,10,0.01,9,34.28,3.23679,Snaking_E1_0_E2_4_Fric_0_load_2.jpg
203,0.1,0.15,12,0.01,6,38.12,2.75739,Snaking_E1_0_E2_4_Fric_0_load_3.jpg
204,0.1,0.15,14,0.01,10,47.45,2.83355,Snaking_E1_0_E2_4_Fric_0_load_4.jpg
205,0.1,0.15,6,5,5,9.35,0.373068,Snaking_E1_0_E2_4_Fric_1_load_0.jpg
206,0.1,0.15,8,5,10,26.4,1.39365,Snaking_E1_0_E2_4_Fric_1_load_1.jpg
207,0.1,0.15,10,5,7,37.84,2.57575,Snaking_E1_0_E2_4_Fric_1_load_2.jpg
208,0.1,0.15,12,5,6,42.13,2.41046,Snaking_E1_0_E2_4_Fric_1_load_3.jpg
209,0.1,0.15,14,5,8,42.51,3.35796,Snaking_E1_0_E2_4_Fric_1_load_4.jpg
210,0.1,0.15,6,10,4,6.87,0.401657,Snaking_E1_0_E2_4_Fric_2_load_0.jpg
211,0.1,0.15,8,10,10,29.01,1.72186,Snaking_E1_0_E2_4_Fric_2_load_1.jpg
212,0.1,0.15,10,10,7,37.84,2.30037,Snaking_E1_0_E2_4_Fric_2_load_2.jpg
213,0.1,0.15,12,10,11,40.16,2.49463,Snaking_E1_0_E2_4_Fric_2_load_3.jpg
214,0.1,0.15,14,10,11,42.61,3.17233,Snaking_E1_0_E2_4_Fric_2_load_4.jpg
215,0.1,0.15,6,15,4,6.9,0.41036,Snaking_E1_0_E2_4_Fric_3_load_0.jpg
216,0.1,0.15,8,15,10,29.97,2.08608,Snaking_E1_0_E2_4_Fric_3_load_1.jpg
